,name,description
1034,Meyer/Glass Interactive,
1035,Haemimont Games,
1036,PawaPuro Production,
1037,A-Max,
1038,"Treasure Co., Ltd.",
1039,Tigon,
1040,"Webfoot Technologies, Inc.",
1041,Starbreeze Studios/Tigon Studios,
1042,Gamious,
1043,Stainless Games,
1044,Human Soft / Ivolgamus,
1045,Centuri,
1046,Digital DNA Games,
1047,505 Games,
1048,Studio Gigante,
1049,Wideload Games,
1050,"Williams Electronic Games, Inc.",
1051,Team17 Software / Two Tribes,
1052,@unepic_fran,
1053,Firaxis,
1054,Behaviour Interactive Inc.,
1055,THQ Australia Studios Pty Ltd.,
1056,Computer Artworks,
1057,Career Soft,
1058,Genuine Games,
1059,Kuju Entertainment,
1060,EurocoEntertainment Software,
1061,Papaya Studio Corporation,
1062,Capybara Games,
1063,Beenox Studios,
1064,Humagade,
1065,Eighting/Raizing,
1066,Tri-Crescendo,
1067,FantaBlade Network,
1068,Compile Heart,
1069,Cave Barn,
1070,Knowledge Adventure Inc.,
1071,Gainax,
1072,Kouyousha,
1073,Tenyo,
1074,BudCat Games,
1075,Sensory Sweep Studios,
1076,Back To Basics Gaming,
1077,Kamui,
1078,Almanic Corp.,
1079,Sunrise Interactive,
1080,Game Brains,
1081,Going Loud Studios,
1082,Aspect,
1083,Dynamic Pixels,
1084,Avalanche Software / Ritual Entertainment,
1085,HyperBole Studios,
1086,JForce Games,
1087,THQ Australia,
1088,Electronic Arts North Carolina,
1089,Creat Studio,
1090,TYO,
1091,Newcom,
1092,Human Soft,
1093,Cosmigo,
1094,Traveller's Tales / Heavy Iron Studios,
1095,Amistech Games,
1096,En Masse,
1097,Arkedo Studio,
1098,HammerHead Ltd.,
1099,Ubisoft Bucharest,
1100,Hemisphere Games,
1101,Saber Interactive,
1102,Final Form Games,
1103,Tempest Software,
1104,CRI,
1105,Halfbrick Studios,
1106,Armor Project / Think Garage,
1107,hyperboreanGames,
1108,Warp,
1109,Papyrus,
1110,Millennium Kitchen,
1111,Blitz Game Studios,
1112,Cohort Studios,
1113,Magical Company,
1114,Aquria,
1115,Mimimi Productions,
1116,Shaba Games / Treyarch,
1117,Secret Exit Ltd.,
1118,Jet Black Games,
1119,marbenx,
1120,Twisted Pixel Games,
1121,Ska Studios,
1122,Team6 Game Studios,
1123,Boss Game Studios,
1124,Acclaim Studios Cheltenham,
1125,Last Bastion Studios LLC,
1126,Brownie Brown / HAL Laboratory / Nintendo SPD Production Group No. 3,
1127,Zen Studios Inc.,
1128,"Starsphere Interactive, Inc.",
1129,Valhalla Game Studios,
1130,Behaviour Interactive,
1131,Erik Asmussen,
1132,Victor Interactive Software,
1133,Frogwares,
1134,Wolf Team,
1135,Firebrand Games,
1136,MBL Research,
1137,Mud Duck Productions,
1138,Wow Entertainment,
1139,"Sega Studios, San Francisco",
1140,Z-Axis,
1141,ASCII Entertainment / Tirnanog,
1142,Noise Inc.,
1143,skip Ltd.,
1144,LightWeight,
1145,Human Club,
1146,Red Barrels,
1147,Alpha Unit,
1148,Rooster Teeth Games,
1149,Lightning Fish,
1150,Data Age,
1151,MileStone Inc.,
1152,Tarsier Studios,
1153,Broadsword Interactive,
1154,Vertigo Gaming Inc.,
1155,GameLab / PlayFirst,
1156,Red Tribe,
1157,Uacari,
1158,NewKidCo,
1159,Amuze,
1160,Bugbear Entertainment,
1161,Climax,
1162,Cyberlore Studios,
1163,2Play,
1164,7thChord,
1165,Pi Studios,
1166,The Astronauts,
1167,Dingo Inc.,
1168,Double Damage Games,
1169,Lazy 8 Studios,
1170,Radon Labs GmbH,
1171,Weappy Studio,
1172,Free Lives,
1173,Crafts & Meister,
1174,Quebec City,
1175,Other Ocean Interactive,
