,name,description
1143,Spicy Horse,
1144,Columbia Music Entertainment,
1145,JC Research,
1146,Himalaya Studios,
1147,OGPlanet,
1148,Arcade Lab,
1149,Gaia (GeGeGe),
1150,Synergy Inc.,
1151,Sega-AM7,
1152,Tec Toy,
1153,Virgin Games,
1154,MicroLeague,
1155,Creat Studio,
1156,G-Style,
1157,Sigma,
1158,PomPom,
1159,Electric Dreams Software,
1160,Witch,
1161,3000AD,
1162,Doublesix,
1163,Skyworks Interactive,
1164,NHN USA,
1165,Right Stuff,
1166,Greenwood Entertainment Software GmbH,
1167,Interplay Entertainment Corp.,
1168,Krisalis,
1169,I*Motion,
1170,Electronic Arts Victor,
1171,Benjamin Rivers Inc.,
1172,Laser Dog,
1173,COCOSOLA Inc.,
1174,Mad Monkey Studio,
1175,Sabarasa Entertainment,
1176,IGG,
1177,Nimbly Games,
1178,Winter Wolves Game Studio,
1179,Kawamoto Industrial,
1180,GANZ,
1181,Graphic Simulations,
1182,Collavier Corporation,
1183,Sucker Punch Productions,
1184,Scavenger,
1185,Lexis Numerique,
1186,Nihon System,
1187,TecMagik,
1188,Big Fun Games,
1189,Active,
1190,Q Entertainment,
1191,Studio e-go,
1192,Terios,
1193,Chillingo,
1194,Yuke's Osaka,
1195,SlinDev,
1196,Screenwave Media,
1197,Ambition,
1198,J-Wing,
1199,Little Worlds Studio,
1200,Hirameki International Group,
1201,GameForge,
1202,Aki Corp.,
1203,Xider Games,
1204,bhv Software,
1205,Ray Corporation,
1206,Gamebridge,
1207,Omega Micott,
1208,Adult Dream,
1209,Trendverlag,
1210,Stern,
1211,Metro3D,
1212,Panther Software,
1213,CD Bros.,
1214,Interactive Magic,
1215,Tactics,
1216,Tin Man Games,
1217,Zordix AB,
1218,Mizuki,
1219,Tamsoft,
1220,Fishtank Interactive,
1221,Pulse Entertainment,
1222,Open Book 9003,
1223,Frontier Groove,
1224,Gato Salvaje S.L.,
1225,Circus,
1226,Icon Games,
1227,Enjoy Gaming ltd.,
1228,Ciel,
1229,Spacetime Studios,
1230,Flying Edge,
1231,Webzen,
1232,Renovation,
1233,System Sacom,
1234,Yanoman,
1235,Salio,
1236,Duaik Entretenimento,
1237,Project Two Interactive,
1238,Pai,
1239,American Sammy,
1240,SCEA Studio San Diego,
1241,Fuzzy Wuzzy Games,
1242,G.rev Ltd.,
1243,Case in Point Studios,
1244,"Incandescent Core, LLC",
1245,Xonox,
1246,Ertain,
1247,Signal Studios,
1248,Nokia,
1249,Hug,
1250,Shingakusha,
1251,Gakushuu Kenkyuusha,
1252,Witch Beam Games,
1253,Outgrow,
1254,Edelweiss,
1255,Legend Entertainment,
1256,Sudden Games,
1257,Gentleman Squid Studio,
1258,"GamesCafe, Inc.",
1259,PomPom Games,
1260,Oberon Media,
1261,Family Soft,
1262,MegaCyber,
1263,Tadashi,
1264,Tangram3D,
1265,NDoors Interactive,
1266,Social Quantum,
1267,Treco,
1268,UPL,
1269,Quantum Sheep,
1270,Climax,
1271,T3 Entertainment,
1272,Cipher Prime,
1273,Gremlin Graphics,
1274,Quelle,
1275,Eutechnyx,
1276,Sanyei Shobou,
1277,Spiderweb Software,
1278,Midnight Magic Games,
1279,Amaranth Games,
1280,Corbomite Games,
1281,Ronimo Games,
1282,Magic Bytes,
1283,Propeller,
1284,Zynga,
1285,Undermoon,
1286,Gaps,
1287,Omega Products,
1288,Astec 21,
1289,Survive,
1290,Alexey Saenko,
1291,Team Colorblind,
1292,WizardWorks,
1293,Color Dreams,
1294,Oz Club,
1295,Micro World,
